CUADRO=001 | COLUMNA_DESC=B
CUADRO=001 | FILA=8 | PN=PN00001MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO
CUADRO=001 | FILA=39 | PN=PN00025MM | DESC=IV. LIQUIDEZ (=I+II+III) 3/ > 2. Moneda Extranjera > Coeficiente de dolarización
CUADRO=011 | COLUMNA_DESC=B
CUADRO=011 | FILA=8 | PN=PN00105MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO
CUADRO=011 | FILA=10 | PN=PN00106MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO > (Millones de USD)
CUADRO=011 | FILA=11 | PN=PN00107MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO > 1. Activos
CUADRO=011 | FILA=12 | PN=PN00108MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO > 2. Pasivos
CUADRO=011 | FILA=15 | PN=PN00109MM | DESC=II. ACTIVOS EXTERNOS NETOS DE LARGO PLAZO
CUADRO=011 | FILA=16 | PN=PN00110MM | DESC=II. ACTIVOS EXTERNOS NETOS DE LARGO PLAZO > (Millones de USD) 2/
CUADRO=011 | FILA=18 | PN=PN00111MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4)
CUADRO=011 | FILA=19 | PN=PN00112MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto)
CUADRO=011 | FILA=20 | PN=PN00113MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > a. Gobierno Central
CUADRO=011 | FILA=21 | PN=PN00114MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > a. Gobierno Central > - Créditos
CUADRO=011 | FILA=22 | PN=PN00115MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > a. Gobierno Central > - Obligaciones
CUADRO=011 | FILA=23 | PN=PN00116MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > b. Resto Sector Público 3/
CUADRO=011 | FILA=24 | PN=PN00117MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > b. Resto Sector Público 3/ > - Créditos
CUADRO=011 | FILA=25 | PN=PN00118MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > b. Resto Sector Público 3/ > - Obligaciones
CUADRO=011 | FILA=26 | PN=PN00119MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 2. Sector Privado
CUADRO=011 | FILA=27 | PN=PN00120MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias
CUADRO=011 | FILA=28 | PN=PN00121MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP
CUADRO=011 | FILA=29 | PN=PN00122MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP > i. Efectivo
CUADRO=011 | FILA=30 | PN=PN00123MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP > ii. Depósitos y valores
CUADRO=011 | FILA=31 | PN=PN00124MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP > ii. Depósitos y valores > - Depósitos en Moneda Nacional
CUADRO=011 | FILA=32 | PN=PN00125MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP > ii. Depósitos y valores > - Depósitos en Moneda Nacional > * Cuenta corriente
CUADRO=011 | FILA=33 | PN=PN00126MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP > ii. Depósitos y valores > - Depósitos en Moneda Nacional > * Otros depósitos 4/
CUADRO=011 | FILA=34 | PN=PN00127MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP > ii. Depósitos y valores > - Valores del BCRP
CUADRO=011 | FILA=35 | PN=PN00128MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP > ii. Depósitos y valores > - Depósitos en Moneda Extranjera
CUADRO=011 | FILA=36 | PN=PN00129MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP > iii. Obligaciones
CUADRO=011 | FILA=37 | PN=PN00130MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > b. Banco de la Nación
CUADRO=011 | FILA=38 | PN=PN00131MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > b. Banco de la Nación > i. Créditos y Depósitos
CUADRO=011 | FILA=39 | PN=PN00132MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > b. Banco de la Nación > ii. Obligaciones
CUADRO=011 | FILA=40 | PN=PN00134MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 4. Otras Cuentas Netas
CUADRO=011 | FILA=42 | PN=PN00135MM | DESC=IV. LIQUIDEZ (I+II+III)
CUADRO=011 | FILA=43 | PN=PN00136MM | DESC=IV. LIQUIDEZ (I+II+III) > 1 En Moneda Nacional
CUADRO=011 | FILA=44 | PN=PN00137MM | DESC=IV. LIQUIDEZ (I+II+III) > 1 En Moneda Nacional > a. Obligaciones a la Vista
CUADRO=011 | FILA=45 | PN=PN00138MM | DESC=IV. LIQUIDEZ (I+II+III) > 1 En Moneda Nacional > b. Obligaciones de Ahorro
CUADRO=011 | FILA=46 | PN=PN00139MM | DESC=IV. LIQUIDEZ (I+II+III) > 1 En Moneda Nacional > c. Obligaciones a Plazo
CUADRO=011 | FILA=47 | PN=PN00140MM | DESC=IV. LIQUIDEZ (I+II+III) > 1 En Moneda Nacional > d. Otros Valores
CUADRO=011 | FILA=48 | PN=PN00141MM | DESC=IV. LIQUIDEZ (I+II+III) > 2. En Moneda Extranjera
CUADRO=011 | FILA=49 | PN=PN00142MM | DESC=IV. LIQUIDEZ (I+II+III) > 2. En Moneda Extranjera > (Millones de USD)
CUADRO=011 | FILA=51 | PN=PN00143MM | DESC=IV. LIQUIDEZ (I+II+III) > 2. En Moneda Extranjera > Coeficiente de dolarización
CUADRO=021 | COLUMNA_DESC=B
CUADRO=021 | FILA=8 | PN=PN00026MM | DESC=I. RESERVAS INTERNACIONALES NETAS (Millones de USD)
CUADRO=021 | FILA=9 | PN=PN00027MM | DESC=I. RESERVAS INTERNACIONALES NETAS (Millones de USD) > I. RESERVAS INTERNACIONALES NETAS (Millones de USD)
CUADRO=021 | FILA=10 | PN=PN00028MM | DESC=I. RESERVAS INTERNACIONALES NETAS (Millones de USD) > 1. Activos
CUADRO=021 | FILA=11 | PN=PN00029MM | DESC=I. RESERVAS INTERNACIONALES NETAS (Millones de USD) > 2. Pasivos
CUADRO=021 | FILA=13 | PN=PN00030MM | DESC=II. ACTIVOS EXTERNOS NETOS DE LARGO PLAZO
CUADRO=021 | FILA=15 | PN=PN00031MM | DESC=II. ACTIVOS EXTERNOS NETOS DE LARGO PLAZO > (Millones de USD) 2/
CUADRO=021 | FILA=16 | PN=PN00032MM | DESC=II. ACTIVOS EXTERNOS NETOS DE LARGO PLAZO > 1. Créditos
CUADRO=021 | FILA=17 | PN=PN00033MM | DESC=II. ACTIVOS EXTERNOS NETOS DE LARGO PLAZO > 2. Obligaciones
CUADRO=021 | FILA=19 | PN=PN00034MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3)
CUADRO=021 | FILA=20 | PN=PN00035MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 1. Sistema Financiero
CUADRO=021 | FILA=21 | PN=PN00037MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 1. Sistema Financiero > a. Operaciones de reporte de valores
CUADRO=021 | FILA=22 | PN=PN00038MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 1. Sistema Financiero > b. Operaciones de reporte de monedas
CUADRO=021 | FILA=23 | PN=PN41473MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 1. Sistema Financiero > c. Operaciones de reporte de cartera 3/
CUADRO=021 | FILA=24 | PN=PN41474MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 1. Sistema Financiero > d. Operaciones de reporte de cartera con garantía estatal
CUADRO=021 | FILA=25 | PN=PN00039MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 2. Sector Público (neto)
CUADRO=021 | FILA=26 | PN=PN00040MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 2. Sector Público (neto) > a. Banco de la Nación 4/
CUADRO=021 | FILA=27 | PN=PN00041MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 2. Sector Público (neto) > b. Gobierno Central 5/
CUADRO=021 | FILA=28 | PN=PN00042MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 2. Sector Público (neto) > c. Otros (incluye COFIDE)
CUADRO=021 | FILA=29 | PN=PN00043MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 2. Sector Público (neto) > d. Valores en Poder del Sector Público 6/
CUADRO=021 | FILA=30 | PN=PN00044MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 3. Otras Cuentas Netas
CUADRO=021 | FILA=32 | PN=PN00045MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III)
CUADRO=021 | FILA=33 | PN=PN00046MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 1. En Moneda Nacional
CUADRO=021 | FILA=34 | PN=PN00047MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 1. En Moneda Nacional > a. Emisión Primaria 7/
CUADRO=021 | FILA=35 | PN=PN00048MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 1. En Moneda Nacional > a. Emisión Primaria 7/ > i. Circulante
CUADRO=021 | FILA=36 | PN=PN00049MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 1. En Moneda Nacional > a. Emisión Primaria 7/ > ii. Encaje
CUADRO=021 | FILA=37 | PN=PN00050MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 1. En Moneda Nacional > b. Valores Emitidos 8/
CUADRO=021 | FILA=38 | PN=PN00051MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 2. En Moneda Extranjera
CUADRO=021 | FILA=39 | PN=PN00052MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 2. En Moneda Extranjera > (Millones de USD)
CUADRO=021 | FILA=40 | PN=PN00053MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 2. En Moneda Extranjera > Empresas Bancarias
CUADRO=021 | FILA=41 | PN=PN00054MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 2. En Moneda Extranjera > Resto
CUADRO=021 | FILA=45 | PN=PN41477MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 1. Swap Cambiario Venta
CUADRO=021 | FILA=46 | PN=PN41478MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 1. Swap Cambiario Venta > (Millones de USD)
CUADRO=021 | FILA=47 | PN=PN41480MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 2. Swap Cambiario Compra
CUADRO=021 | FILA=48 | PN=PN41481MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 2. Swap Cambiario Compra > (Millones de USD)
CUADRO=021 | FILA=49 | PN=PN41479MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 3. Swap de Tasas de Interés
