CUADRO=001 | FILA=8 | PN=PN00001MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO
CUADRO=011 | FILA=8 | PN=PN00105MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO
CUADRO=011 | FILA=10 | PN=PN00106MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO > (Millones de USD)
CUADRO=011 | FILA=11 | PN=PN00107MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO > 1. Activos
CUADRO=011 | FILA=12 | PN=PN00108MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO > 2. Pasivos
CUADRO=011 | FILA=15 | PN=PN00109MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO > 2. Pasivos > DE LARGO PLAZO
CUADRO=011 | FILA=16 | PN=PN00110MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO > 2. Pasivos > (Millones de USD) 2/
CUADRO=011 | FILA=18 | PN=PN00111MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4)
CUADRO=011 | FILA=19 | PN=PN00112MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto)
CUADRO=011 | FILA=20 | PN=PN00113MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > a. Gobierno Central
CUADRO=011 | FILA=21 | PN=PN00114MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > a. Gobierno Central > - Créditos
CUADRO=011 | FILA=22 | PN=PN00115MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > a. Gobierno Central > - Obligaciones
CUADRO=011 | FILA=23 | PN=PN00116MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > b. Resto Sector Público 3/
CUADRO=011 | FILA=24 | PN=PN00117MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > b. Resto Sector Público 3/ > - Créditos
CUADRO=011 | FILA=25 | PN=PN00118MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > b. Resto Sector Público 3/ > - Obligaciones
CUADRO=011 | FILA=26 | PN=PN00119MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 2. Sector Privado
CUADRO=011 | FILA=27 | PN=PN00120MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias
CUADRO=011 | FILA=28 | PN=PN00121MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP
CUADRO=011 | FILA=29 | PN=PN00122MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP > i. Efectivo
CUADRO=011 | FILA=30 | PN=PN00123MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP > ii. Depósitos y valores
CUADRO=011 | FILA=31 | PN=PN00124MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP > ii. Depósitos y valores > - Depósitos en Moneda Nacional
CUADRO=011 | FILA=32 | PN=PN00125MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP > ii. Depósitos y valores > * Cuenta corriente
CUADRO=011 | FILA=33 | PN=PN00126MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP > ii. Depósitos y valores > * Otros depósitos 4/
CUADRO=011 | FILA=34 | PN=PN00127MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP > ii. Depósitos y valores > - Valores del BCRP
CUADRO=011 | FILA=35 | PN=PN00128MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP > ii. Depósitos y valores > - Depósitos en Moneda Extranjera
CUADRO=011 | FILA=36 | PN=PN00129MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP > iii. Obligaciones
CUADRO=011 | FILA=37 | PN=PN00130MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > b. Banco de la Nación
CUADRO=011 | FILA=38 | PN=PN00131MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > b. Banco de la Nación > i. Créditos y Depósitos
CUADRO=011 | FILA=39 | PN=PN00132MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > b. Banco de la Nación > ii. Obligaciones
CUADRO=011 | FILA=40 | PN=PN00134MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 4. Otras Cuentas Netas
CUADRO=011 | FILA=42 | PN=PN00135MM | DESC=IV. LIQUIDEZ (I+II+III)
CUADRO=011 | FILA=43 | PN=PN00136MM | DESC=IV. LIQUIDEZ (I+II+III) > 1 En Moneda Nacional
CUADRO=011 | FILA=44 | PN=PN00137MM | DESC=IV. LIQUIDEZ (I+II+III) > a. Obligaciones a la Vista
CUADRO=011 | FILA=45 | PN=PN00138MM | DESC=IV. LIQUIDEZ (I+II+III) > b. Obligaciones de Ahorro
CUADRO=011 | FILA=46 | PN=PN00139MM | DESC=IV. LIQUIDEZ (I+II+III) > c. Obligaciones a Plazo
CUADRO=011 | FILA=47 | PN=PN00140MM | DESC=IV. LIQUIDEZ (I+II+III) > d. Otros Valores
CUADRO=011 | FILA=48 | PN=PN00141MM | DESC=IV. LIQUIDEZ (I+II+III) > 2. En Moneda Extranjera
CUADRO=011 | FILA=49 | PN=PN00142MM | DESC=IV. LIQUIDEZ (I+II+III) > 2. En Moneda Extranjera > (Millones de USD) Nota:
CUADRO=011 | FILA=51 | PN=PN00143MM | DESC=IV. LIQUIDEZ (I+II+III) > 2. En Moneda Extranjera > Coeficiente de dolarización de la liquidez (%)
CUADRO=021 | FILA=8 | PN=PN00026MM | DESC=I. RESERVAS INTERNACIONALES NETAS
CUADRO=021 | FILA=9 | PN=PN00027MM | DESC=I. RESERVAS INTERNACIONALES NETAS > (Millones de USD)
CUADRO=021 | FILA=10 | PN=PN00028MM | DESC=I. RESERVAS INTERNACIONALES NETAS > 1. Activos
CUADRO=021 | FILA=11 | PN=PN00029MM | DESC=I. RESERVAS INTERNACIONALES NETAS > 2. Pasivos
CUADRO=021 | FILA=13 | PN=PN00030MM | DESC=II. ACTIVOS EXTERNOS NETOS DE LARGO PLAZO
CUADRO=021 | FILA=15 | PN=PN00031MM | DESC=II. ACTIVOS EXTERNOS NETOS DE LARGO PLAZO > (Millones de USD) 2/
CUADRO=021 | FILA=16 | PN=PN00032MM | DESC=II. ACTIVOS EXTERNOS NETOS DE LARGO PLAZO > 1. Créditos
CUADRO=021 | FILA=17 | PN=PN00033MM | DESC=II. ACTIVOS EXTERNOS NETOS DE LARGO PLAZO > 2. Obligaciones
CUADRO=021 | FILA=19 | PN=PN00034MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3)
CUADRO=021 | FILA=20 | PN=PN00035MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 1. Sistema Financiero
CUADRO=021 | FILA=21 | PN=PN00037MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 1. Sistema Financiero > a. Operaciones de reporte de valores
CUADRO=021 | FILA=22 | PN=PN00038MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 1. Sistema Financiero > b. Operaciones de reporte de monedas
CUADRO=021 | FILA=23 | PN=PN41473MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 1. Sistema Financiero > c. Operaciones de reporte de cartera 3/
CUADRO=021 | FILA=24 | PN=PN41474MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 1. Sistema Financiero > d. Operaciones de reporte de cartera con garantía estatal
CUADRO=021 | FILA=25 | PN=PN00039MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 2. Sector Público (neto)
CUADRO=021 | FILA=26 | PN=PN00040MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 2. Sector Público (neto) > a. Banco de la Nación 4/
CUADRO=021 | FILA=27 | PN=PN00041MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 2. Sector Público (neto) > b. Gobierno Central 5/
CUADRO=021 | FILA=28 | PN=PN00042MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 2. Sector Público (neto) > c. Otros (incluye COFIDE)
CUADRO=021 | FILA=29 | PN=PN00043MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 2. Sector Público (neto) > d. Valores en Poder del Sector Público 6/
CUADRO=021 | FILA=30 | PN=PN00044MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3) > 3. Otras Cuentas Netas
CUADRO=021 | FILA=32 | PN=PN00045MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III)
CUADRO=021 | FILA=33 | PN=PN00046MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 1. En Moneda Nacional
CUADRO=021 | FILA=34 | PN=PN00047MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 1. En Moneda Nacional > a. Emisión Primaria 7/
CUADRO=021 | FILA=35 | PN=PN00048MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 1. En Moneda Nacional > a. Emisión Primaria 7/ > i. Circulante
CUADRO=021 | FILA=36 | PN=PN00049MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 1. En Moneda Nacional > a. Emisión Primaria 7/ > ii. Encaje
CUADRO=021 | FILA=37 | PN=PN00050MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 1. En Moneda Nacional > b. Valores Emitidos 8/
CUADRO=021 | FILA=38 | PN=PN00051MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 2. En Moneda Extranjera
CUADRO=021 | FILA=39 | PN=PN00052MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 2. En Moneda Extranjera > (Millones de USD)
CUADRO=021 | FILA=40 | PN=PN00053MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 2. En Moneda Extranjera > Empresas Bancarias
CUADRO=021 | FILA=41 | PN=PN00054MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 2. En Moneda Extranjera > Resto
CUADRO=021 | FILA=43 | PN=- | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 2. En Moneda Extranjera > NOTA: SALDOS A FIN DE PERÍODO (Millones de soles)
CUADRO=021 | FILA=45 | PN=PN41477MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 1. Swap Cambiario Venta
CUADRO=021 | FILA=46 | PN=PN41478MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 1. Swap Cambiario Venta > (Millones de USD)
CUADRO=021 | FILA=47 | PN=PN41480MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 2. Swap Cambiario Compra
CUADRO=021 | FILA=48 | PN=PN41481MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 2. Swap Cambiario Compra > (Millones de USD)
CUADRO=021 | FILA=49 | PN=PN41479MM | DESC=IV. OBLIGACIONES MONETARIAS (I+II+III) > 3. Swap de Tasas de Interés
CUADRO=023 | FILA=8 | PN=PN01031MM | DESC=VARIACIÓN DE RIN (I+II)
CUADRO=023 | FILA=9 | PN=PN01032MM | DESC=I. OPERACIONES CAMBIARIAS
CUADRO=023 | FILA=10 | PN=PN01033MM | DESC=I. OPERACIONES CAMBIARIAS > 1. COMPRAS NETAS EN MESA
CUADRO=023 | FILA=11 | PN=PN01034MM | DESC=I. OPERACIONES CAMBIARIAS > 1. COMPRAS NETAS EN MESA > a. Compras
CUADRO=023 | FILA=12 | PN=PN01035MM | DESC=I. OPERACIONES CAMBIARIAS > 1. COMPRAS NETAS EN MESA > b. Ventas
CUADRO=023 | FILA=13 | PN=PN01036MM | DESC=I. OPERACIONES CAMBIARIAS > 2. SECTOR PÚBLICO
CUADRO=023 | FILA=14 | PN=PN01039MM | DESC=I. OPERACIONES CAMBIARIAS > 3. OTROS 3/
CUADRO=023 | FILA=15 | PN=PN01040MM | DESC=II. RESTO DE OPERACIONES
CUADRO=023 | FILA=16 | PN=PN01041MM | DESC=II. RESTO DE OPERACIONES > 1. DEPÓSITOS DE INTERMEDIARIOS FINANCIEROS 4/
CUADRO=023 | FILA=17 | PN=PN01042MM | DESC=II. RESTO DE OPERACIONES > 1. DEPÓSITOS DE INTERMEDIARIOS FINANCIEROS 4/ > a. Empresas Bancarias
CUADRO=023 | FILA=18 | PN=PN01043MM | DESC=II. RESTO DE OPERACIONES > 1. DEPÓSITOS DE INTERMEDIARIOS FINANCIEROS 4/ > b. Banco de la Nación
CUADRO=023 | FILA=19 | PN=PN01044MM | DESC=II. RESTO DE OPERACIONES > 1. DEPÓSITOS DE INTERMEDIARIOS FINANCIEROS 4/ > c. Otros
CUADRO=023 | FILA=20 | PN=PN01045MM | DESC=II. RESTO DE OPERACIONES > 2. DEPÓSITOS PÚBLICOS
CUADRO=023 | FILA=21 | PN=- | DESC=II. RESTO DE OPERACIONES > 3. OPERACIONES DE REPORTE AL SISTEMA FINANCIERO 5/
CUADRO=023 | FILA=22 | PN=- | DESC=II. RESTO DE OPERACIONES > 4. OTROS 6/
CUADRO=023 | FILA=24 | PN=- | DESC=II. RESTO DE OPERACIONES > 4. OTROS 6/ > NOTA: SALDOS A FIN DE PERÍODO (Millones de USD)
CUADRO=023 | FILA=26 | PN=PN01051MM | DESC=II. RESTO DE OPERACIONES > 1. RESERVAS INTERNACIONALES NETAS
CUADRO=023 | FILA=27 | PN=PN01052MM | DESC=II. RESTO DE OPERACIONES > 2. DEPÓSITOS DE INTERMEDIARIOS FINANCIEROS 4/
CUADRO=023 | FILA=28 | PN=PN01053MM | DESC=II. RESTO DE OPERACIONES > 2. DEPÓSITOS DE INTERMEDIARIOS FINANCIEROS 4/ > a. Depósitos de Empresas Bancarias
CUADRO=023 | FILA=29 | PN=PN01054MM | DESC=II. RESTO DE OPERACIONES > 2. DEPÓSITOS DE INTERMEDIARIOS FINANCIEROS 4/ > b. Depósitos del Banco de la Nación
CUADRO=023 | FILA=30 | PN=PN01055MM | DESC=II. RESTO DE OPERACIONES > 3. DEPÓSITOS DEL SECTOR PÚBLICO EN EL BCRP
CUADRO=023 | FILA=31 | PN=PN01056MM | DESC=II. RESTO DE OPERACIONES > 3. DEPÓSITOS DEL SECTOR PÚBLICO EN EL BCRP > a. Depósitos por privatización
CUADRO=023 | FILA=32 | PN=PN01053MM | DESC=II. RESTO DE OPERACIONES > 3. DEPÓSITOS DEL SECTOR PÚBLICO EN EL BCRP > b. Fondo de Estabilización Fiscal (FEF)
CUADRO=023 | FILA=33 | PN=PN01054MM | DESC=II. RESTO DE OPERACIONES > 3. DEPÓSITOS DEL SECTOR PÚBLICO EN EL BCRP > c. Otros depósitos del Tesoro Público 7/
CUADRO=023 | FILA=34 | PN=PN01056MM | DESC=II. RESTO DE OPERACIONES > 3. DEPÓSITOS DEL SECTOR PÚBLICO EN EL BCRP > d. COFIDE
CUADRO=023 | FILA=35 | PN=PN01062MM | DESC=II. RESTO DE OPERACIONES > 3. DEPÓSITOS DEL SECTOR PÚBLICO EN EL BCRP > e. Resto
CUADRO=024 | FILA=8 | PN=PN00990MM | DESC=FLUJO DE EMISIÓN PRIMARIA (I+II)
CUADRO=024 | FILA=9 | PN=PN00991MM | DESC=I. OPERACIONES CAMBIARIAS
CUADRO=024 | FILA=10 | PN=PN00992MM | DESC=I. OPERACIONES CAMBIARIAS > 1. COMPRAS NETAS EN MESA
CUADRO=024 | FILA=11 | PN=PN00993MM | DESC=I. OPERACIONES CAMBIARIAS > 1. COMPRAS NETAS EN MESA > a. Compras
CUADRO=024 | FILA=12 | PN=PN00994MM | DESC=I. OPERACIONES CAMBIARIAS > 1. COMPRAS NETAS EN MESA > b. Ventas
CUADRO=024 | FILA=13 | PN=PN00995MM | DESC=I. OPERACIONES CAMBIARIAS > 2. SECTOR PÚBLICO
CUADRO=024 | FILA=14 | PN=PN00998MM | DESC=I. OPERACIONES CAMBIARIAS > 3. OTROS 3/
CUADRO=024 | FILA=15 | PN=PN00999MM | DESC=II. RESTO DE OPERACIONES MONETARIAS
CUADRO=024 | FILA=16 | PN=PN01000MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 1. SISTEMA FINANCIERO
CUADRO=024 | FILA=17 | PN=PN01002MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 1. SISTEMA FINANCIERO > a. Operaciones de reporte de valores
CUADRO=024 | FILA=18 | PN=PN01003MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 1. SISTEMA FINANCIERO > b. Operaciones de reporte de monedas
CUADRO=024 | FILA=19 | PN=PN39861MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 1. SISTEMA FINANCIERO > c. Operaciones de reporte de cartera 4/
CUADRO=024 | FILA=20 | PN=PN39862MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 1. SISTEMA FINANCIERO > d. Operaciones de reporte de cartera con garantía estatal
CUADRO=024 | FILA=21 | PN=PN01005MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 2. VALORES DEL BCRP
CUADRO=024 | FILA=22 | PN=PN01006MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 2. VALORES DEL BCRP > a. Sector público
CUADRO=024 | FILA=23 | PN=PN01007MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 2. VALORES DEL BCRP > b. Sector privado 5/
CUADRO=024 | FILA=24 | PN=PN01008MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 3. DEPÓSITOS DE INTERMEDIARIOS FINANCIEROS
CUADRO=024 | FILA=25 | PN=PN01009MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 4. DEPÓSITOS PÚBLICOS
CUADRO=024 | FILA=26 | PN=PN01010MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 4. DEPÓSITOS PÚBLICOS > a. Sector público no financiero 6/
CUADRO=024 | FILA=27 | PN=PN01011MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 4. DEPÓSITOS PÚBLICOS > b. Banco de la Nación
CUADRO=024 | FILA=28 | PN=PN01012MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 5. OTROS
CUADRO=024 | FILA=30 | PN=- | DESC=II. RESTO DE OPERACIONES MONETARIAS > 5. OTROS > NOTA: SALDOS A FIN DE PERÍODO (Millones de soles)
CUADRO=024 | FILA=32 | PN=PN01013MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 1. EMISIÓN PRIMARIA
CUADRO=024 | FILA=33 | PN=PN01014MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 2. SISTEMA FINANCIERO (a+b+c-d)
CUADRO=024 | FILA=34 | PN=PN01016MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 2. SISTEMA FINANCIERO (a+b+c-d) > a. Operaciones de reporte de valores
CUADRO=024 | FILA=35 | PN=PN01017MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 2. SISTEMA FINANCIERO (a+b+c-d) > b. Operaciones de reporte de monedas
CUADRO=024 | FILA=36 | PN=PN39863MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 2. SISTEMA FINANCIERO (a+b+c-d) > c. Operaciones de reporte de cartera
CUADRO=024 | FILA=37 | PN=PN39864MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 2. SISTEMA FINANCIERO (a+b+c-d) > d. Operaciones de reporte con garantía
CUADRO=024 | FILA=38 | PN=PN01019MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 3. VALORES DEL BCRP
CUADRO=024 | FILA=39 | PN=PN01020MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 3. VALORES DEL BCRP > a. Certificados de depósito del BCRP (CDBCRP)
CUADRO=024 | FILA=40 | PN=PN01021MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 3. VALORES DEL BCRP > a. Certificados de depósito del BCRP (CDBCRP) > i. Sector público
CUADRO=024 | FILA=41 | PN=PN01022MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 3. VALORES DEL BCRP > a. Certificados de depósito del BCRP (CDBCRP) > ii. Sector privado
CUADRO=024 | FILA=42 | PN=PN01023MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 3. VALORES DEL BCRP > b. Certificados de depósito reajustables del BCRP (CDR) 7/
CUADRO=024 | FILA=43 | PN=PN01025MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 3. VALORES DEL BCRP > c. Certificados de depósito con tasa variable del BCRP (CDV BCRP)
CUADRO=024 | FILA=44 | PN=PN01027MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 4. DEPÓSITOS DE INTERMEDIARIOS FINANCIEROS
CUADRO=024 | FILA=45 | PN=PN01028MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 4. DEPÓSITOS DE INTERMEDIARIOS FINANCIEROS > i. Facilidades de depósito
CUADRO=024 | FILA=46 | PN=PN01029MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 4. DEPÓSITOS DE INTERMEDIARIOS FINANCIEROS > ii. Otros depósitos
CUADRO=024 | FILA=47 | PN=PN01030MM | DESC=II. RESTO DE OPERACIONES MONETARIAS > 5. DEPOSITOS PÚBLICOS 6/
CUADRO=028 | FILA=7 | PN=- | DESC=1
CUADRO=028 | FILA=8 | PN=- | DESC=1
CUADRO=028 | FILA=9 | PN=- | DESC=1
CUADRO=028 | FILA=10 | PN=- | DESC=2
CUADRO=028 | FILA=11 | PN=- | DESC=2
CUADRO=028 | FILA=12 | PN=- | DESC=2
CUADRO=028 | FILA=13 | PN=- | DESC=3
CUADRO=028 | FILA=14 | PN=- | DESC=3
CUADRO=028 | FILA=15 | PN=- | DESC=3
CUADRO=028 | FILA=16 | PN=- | DESC=4
CUADRO=028 | FILA=17 | PN=- | DESC=4
CUADRO=028 | FILA=18 | PN=- | DESC=4
CUADRO=028 | FILA=19 | PN=- | DESC=5
CUADRO=028 | FILA=20 | PN=- | DESC=5
CUADRO=028 | FILA=21 | PN=- | DESC=5
CUADRO=049 | FILA=9 | PN=- | DESC=ALTO VALOR
CUADRO=049 | FILA=10 | PN=- | DESC=Sistema LBTR
CUADRO=049 | FILA=11 | PN=- | DESC=- Clientes de los Participantes
CUADRO=049 | FILA=12 | PN=- | DESC=- Propias de los Participantes
CUADRO=049 | FILA=13 | PN=- | DESC=BAJO VALOR
CUADRO=049 | FILA=14 | PN=- | DESC=Cheques
CUADRO=049 | FILA=15 | PN=- | DESC=- Intrabancarios
CUADRO=049 | FILA=16 | PN=- | DESC=- Interbancarias (CCE)
CUADRO=049 | FILA=17 | PN=- | DESC=Tarjetas de Pago
CUADRO=049 | FILA=18 | PN=- | DESC=- Tarjetas de Débito
CUADRO=049 | FILA=19 | PN=- | DESC=a. Vía canales no presenciales 2/
CUADRO=049 | FILA=20 | PN=- | DESC=b. Vía canales presenciales 2/
CUADRO=049 | FILA=21 | PN=- | DESC=b. Vía canales presenciales 2/ > - Tarjetas de Crédito
CUADRO=049 | FILA=22 | PN=- | DESC=a. Vía canales no presenciales 2/
CUADRO=049 | FILA=23 | PN=- | DESC=b. Vía canales presenciales 2/
CUADRO=049 | FILA=24 | PN=- | DESC=b. Vía canales presenciales 2/ > Transferencias Intrabancarias
CUADRO=049 | FILA=25 | PN=- | DESC=a. Vía canales no presenciales 2/
CUADRO=049 | FILA=26 | PN=- | DESC=b. Vía canales presenciales 2/
CUADRO=049 | FILA=27 | PN=- | DESC=b. Vía canales presenciales 2/ > Transferencias Interbancarias
CUADRO=049 | FILA=28 | PN=- | DESC=b. Vía canales presenciales 2/ > - Transferencias de Crédito vía CCE
